iter	RMSE
0	6.023680996
1	6.019847723
2	6.017307468
3	6.013679468
4	6.011367114
5	6.008490336
6	6.006923441
7	6.003045216
8	6.001258516
9	5.997112044
10	5.994612644
11	5.991928576
12	5.986915958
13	5.983114159
14	5.978425255
15	5.975552483
16	5.973914004
17	5.971594887
18	5.969256859
19	5.967422446
20	5.964388182
21	5.962799941
22	5.960596901
23	5.95870952
24	5.956634041
25	5.954026267
26	5.952489213
27	5.950794244
28	5.949177502
29	5.946381677
30	5.94435821
31	5.940550761
32	5.937717154
33	5.936369916
34	5.934886249
35	5.931396979
36	5.927924818
37	5.925388056
38	5.923396631
39	5.920707078
40	5.918036133
41	5.915864689
42	5.913423005
43	5.910400376
44	5.907551445
45	5.905616861
46	5.904146339
47	5.901026293
48	5.898355112
49	5.895614437
50	5.893580173
51	5.889716416
52	5.887195974
53	5.884537323
54	5.881477341
55	5.878720085
56	5.875542881
57	5.872727049
58	5.868831748
59	5.867528119
60	5.865638241
61	5.863861936
62	5.863126696
63	5.861149311
64	5.858336396
65	5.856232137
66	5.854476512
67	5.851205726
68	5.847820561
69	5.845257174
70	5.842427106
71	5.840618989
72	5.838753318
73	5.836235518
74	5.833345069
75	5.830711627
76	5.82866728
77	5.826607322
78	5.824151386
79	5.822789932
80	5.8203684
81	5.818510622
82	5.816015554
83	5.814440113
84	5.812345652
85	5.810116209
86	5.807518244
87	5.805356502
88	5.804321986
89	5.802750887
90	5.799919221
91	5.797596088
92	5.794750118
93	5.791422176
94	5.78994094
95	5.788208108
96	5.786448694
97	5.783712752
98	5.781002816
99	5.780096702
100	5.777721088
101	5.775721388
102	5.774038421
103	5.771460813
104	5.768247605
105	5.766501717
106	5.765408537
107	5.763179599
108	5.761355255
109	5.758785673
110	5.757338763
111	5.754188324
112	5.751734143
113	5.749497695
114	5.74700688
115	5.744719799
116	5.742959085
117	5.740566817
118	5.738536342
119	5.736354422
120	5.734578374
121	5.731763661
122	5.730798761
123	5.728507649
124	5.726288973
125	5.724436986
126	5.721403676
127	5.720186185
128	5.718231364
129	5.715610196
130	5.713914538
131	5.711755387
132	5.709138874
133	5.70780884
134	5.705306909
135	5.703010886
136	5.701343131
137	5.699219131
138	5.697316278
139	5.69540924
140	5.693972111
141	5.691980227
142	5.690076378
143	5.687998648
144	5.684965209
145	5.683482694
146	5.680646202
147	5.678164055
148	5.676517268
149	5.673357841
150	5.671159311
151	5.668637564
152	5.666088372
153	5.66346975
154	5.660547315
155	5.658835324
156	5.657110274
157	5.65527719
158	5.652610843
159	5.650560761
160	5.648135189
161	5.646485857
162	5.645091373
163	5.643590703
164	5.641423523
165	5.639353028
166	5.63756615
167	5.635486155
168	5.633654059
169	5.632639205
170	5.630762275
171	5.628056478
172	5.62642108
173	5.624162601
174	5.621812067
175	5.619867622
176	5.617697079
177	5.61681201
178	5.615119819
179	5.612987835
180	5.610810177
181	5.608229534
182	5.6065797
183	5.604597817
184	5.602154224
185	5.6003425
186	5.599200564
187	5.597843917
188	5.596308793
189	5.593048865
190	5.590690552
191	5.589408016
192	5.588384973
193	5.586046912
194	5.584821495
195	5.583660444
196	5.581854195
197	5.57984786
198	5.577592504
199	5.574888901
200	5.572411073
201	5.569542873
202	5.567659706
203	5.566663579
204	5.563006881
205	5.561235202
206	5.559635763
207	5.557196913
208	5.555741612
209	5.553119954
210	5.550934691
211	5.548812156
212	5.54591682
213	5.543682653
214	5.541708068
215	5.540279287
216	5.539205796
217	5.538017788
218	5.536020576
219	5.534326131
220	5.532559833
221	5.530442936
222	5.52735283
223	5.524850441
224	5.522245297
225	5.520562941
226	5.518683243
227	5.51615892
228	5.513942825
229	5.511726505
230	5.510249855
231	5.507528515
232	5.506009635
233	5.504940332
234	5.502878401
235	5.500954409
236	5.498236364
237	5.495720104
238	5.493318689
239	5.491625661
240	5.489567712
241	5.486490413
242	5.484631719
243	5.482424357
244	5.480157758
245	5.477853343
246	5.476402817
247	5.47502621
248	5.472439743
249	5.46947069
250	5.467246962
251	5.46401896
252	5.462364435
253	5.460082413
254	5.457208835
255	5.456057039
256	5.454365771
257	5.451547184
258	5.449964205
259	5.44841677
260	5.446685524
261	5.443780488
262	5.441634789
263	5.439703408
264	5.436394084
265	5.434371606
266	5.432770919
267	5.431598393
268	5.428584656
269	5.427242569
270	5.425550886
271	5.423397024
272	5.421234018
273	5.418936639
274	5.417543509
275	5.416089004
276	5.413878898
277	5.412088497
278	5.409942915
279	5.408468994
280	5.406582911
281	5.405108469
282	5.402705687
283	5.40144053
284	5.398649812
285	5.396872312
286	5.395055116
287	5.393434328
288	5.391124355
289	5.390067642
290	5.388844372
291	5.387587869
292	5.38544511
293	5.384270257
294	5.382902412
295	5.382146472
296	5.380588394
297	5.378908534
298	5.376332531
299	5.37531434
300	5.373381921
301	5.37146948
302	5.370100453
303	5.368426129
304	5.367001089
305	5.364749057
306	5.363556291
307	5.361113112
308	5.359754975
309	5.358006228
310	5.356303374
311	5.35514433
312	5.352373972
313	5.350847627
314	5.349247465
