iter	Passed	Remaining
0	7	7012
1	13	6935
2	20	6736
3	26	6581
4	33	6629
5	39	6562
6	45	6459
7	51	6395
8	58	6445
9	65	6467
10	70	6373
11	76	6291
12	82	6265
13	89	6274
14	95	6284
15	102	6319
16	108	6287
17	115	6318
18	122	6303
19	128	6311
20	135	6322
21	143	6396
22	151	6434
23	158	6437
24	168	6560
25	178	6684
26	185	6701
27	194	6743
28	201	6759
29	210	6822
30	217	6807
31	224	6778
32	232	6801
33	239	6796
34	247	6817
35	253	6800
36	261	6797
37	267	6774
38	274	6755
39	281	6752
40	288	6737
41	295	6742
42	302	6722
43	309	6715
44	315	6699
45	322	6679
46	328	6658
47	335	6648
48	342	6638
49	349	6631
50	356	6631
51	362	6617
52	369	6598
53	376	6599
54	384	6602
55	391	6598
56	398	6588
57	407	6620
58	415	6625
59	423	6628
60	430	6633
61	439	6651
62	445	6629
63	452	6622
64	460	6617
65	467	6614
66	474	6609
67	482	6608
68	490	6618
69	497	6603
70	504	6595
71	510	6586
72	517	6574
73	525	6575
74	532	6570
75	540	6572
76	546	6556
77	554	6555
78	562	6557
79	569	6546
80	575	6531
81	582	6515
82	590	6518
83	595	6498
84	602	6485
85	608	6466
86	614	6446
87	620	6427
88	626	6409
89	633	6406
90	640	6399
91	650	6416
92	657	6416
93	669	6453
94	676	6443
95	686	6464
96	694	6468
97	707	6511
98	716	6522
99	724	6524
100	734	6534
101	740	6521
102	749	6531
103	756	6515
104	764	6513
105	770	6502
106	779	6508
107	788	6513
108	797	6516
109	803	6504
110	811	6502
111	818	6489
112	826	6490
113	834	6482
114	842	6480
115	848	6465
116	854	6452
117	862	6446
118	868	6432
119	877	6431
120	883	6417
121	889	6402
122	896	6393
123	903	6379
124	910	6373
125	917	6363
126	925	6365
127	934	6365
128	941	6356
129	948	6349
130	956	6343
131	962	6329
132	968	6316
133	975	6307
134	982	6296
135	989	6287
136	996	6276
137	1002	6262
138	1009	6250
139	1015	6235
140	1021	6221
141	1026	6204
142	1032	6189
143	1041	6190
144	1049	6187
145	1056	6180
146	1064	6174
147	1072	6174
148	1078	6160
149	1086	6155
150	1092	6144
151	1098	6130
152	1105	6119
153	1110	6102
154	1117	6090
155	1123	6079
156	1130	6067
157	1136	6054
158	1142	6044
159	1150	6041
160	1156	6028
161	1162	6014
162	1169	6004
163	1175	5989
164	1181	5978
165	1187	5964
166	1193	5952
167	1199	5942
168	1205	5928
169	1211	5913
170	1217	5903
171	1223	5890
172	1229	5877
173	1235	5864
174	1241	5850
175	1246	5838
176	1253	5826
177	1259	5814
178	1265	5805
179	1271	5792
180	1276	5777
181	1282	5766
182	1288	5752
183	1294	5739
184	1300	5729
185	1306	5717
186	1312	5705
187	1318	5693
188	1324	5681
189	1330	5672
190	1336	5660
191	1342	5650
192	1349	5643
193	1356	5634
194	1362	5626
195	1368	5615
196	1375	5605
197	1381	5596
198	1388	5586
199	1394	5577
200	1400	5567
201	1406	5556
202	1413	5548
203	1418	5536
204	1425	5528
205	1431	5519
206	1437	5508
207	1445	5502
208	1451	5493
209	1457	5484
210	1464	5475
211	1470	5465
212	1477	5457
213	1483	5448
214	1489	5437
215	1495	5427
216	1501	5417
217	1507	5406
218	1513	5396
219	1519	5386
220	1525	5378
221	1532	5369
222	1538	5359
223	1544	5351
224	1550	5340
