data,session,multiplier,session_ls,win_amount,number,death,Amount,a,w
,6138470,1.08,1709371201421,29437.84,4648,4553,940533.38,-1,-1
2024-03-02 12:20:39.051415,6138470,1.08,1709371201421,29437.84,4648,4553,940533.38,6997,3000
2024-03-02 12:20:42.623804,6138472,1.16,1709371219889,141584.12,3933,3613,845521.6,6997,3000
2024-03-02 12:20:49.870938,6138472,1.16,1709371219889,141584.12,3933,3613,845521.6,6997,3000
2024-03-02 12:20:57.021767,6138472,1.16,1709371219889,141584.12,3933,3613,841324.63,6997,3000
2024-03-02 12:21:00.585591,6138472,1.16,1709371219889,141584.12,3933,3613,841324.63,6997,3000
2024-03-02 12:21:04.151947,6138474,1.17,1709371238109,148663.12,3820,3473,841324.63,6997,3000
2024-03-02 12:21:04.153934,-1,-1,-1,-1,-1,-1,-1,6997,3000
2024-03-02 12:21:07.734362,6138474,1.17,1709371238109,148663.12,3820,3473,841324.63,6997,3000
2024-03-02 12:21:07.737360,6138474,1.17,1709371238109,148663.12,3820,3473,841324.63,6997,3000
2024-03-02 12:21:11.319210,6138474,1.17,1709371238109,148663.12,3820,3473,841324.63,6997,3000
2024-03-02 12:21:14.895027,6138474,1.17,1709371238109,148663.12,3820,3473,841324.63,6997,3000
2024-03-02 12:21:18.472017,6138474,1.17,1709371238109,148663.12,3820,3473,976083.03,6997,3000
2024-03-02 12:21:22.038906,6138477,1.09,1709371255976,37344.53,3886,3742,976083.03,6997,3000
2024-03-02 12:21:22.039906,6138480,-1,-1,-1,-1,-1,38732.99,6997,3000
2024-03-02 12:21:25.612288,6138477,1.09,1709371255976,37344.53,3886,3742,976083.03,6997,3000
2024-03-02 12:21:25.614298,6138477,1.09,1709371255976,37344.53,3886,3742,976083.03,6997,3000
2024-03-02 12:21:29.181709,6138477,1.09,1709371255976,37344.53,3886,3742,976083.03,6997,3000
2024-03-02 12:21:32.767936,6138477,1.09,1709371255976,37344.53,3886,3742,912851.83,6997,3000
2024-03-02 12:21:36.338210,6138477,1.09,1709371255976,37344.53,3886,3742,912851.83,6997,3000
2024-03-02 12:21:39.905235,6138480,1.31,1709371275314,108667.72,3727,3242,912851.83,6997,3000
2024-03-02 12:21:43.487316,6138480,1.31,1709371275314,108667.72,3727,3242,912851.83,6997,3000
2024-03-02 12:21:43.490320,6138480,1.31,1709371275314,108667.72,3727,3242,912851.83,6997,3000
2024-03-02 12:21:50.616543,6138480,1.31,1709371275314,108667.72,3727,3242,912851.83,6997,3000
2024-03-02 12:21:54.177640,6138481,2.63,1709371299061,822953.67,3748,1971,906148.86,6997,3000
2024-03-02 12:22:08.457507,6138481,2.63,1709371299061,822953.67,3748,1971,562966.79,6997,3000
2024-03-02 12:22:12.030876,6138481,2.63,1709371299061,822953.67,3748,1971,1051520.67,6997,3000
2024-03-02 12:22:15.588916,6138481,2.63,1709371299061,822953.67,3748,1971,1098897.49,6997,3000
2024-03-02 12:22:19.168516,6138481,2.63,1709371299061,822953.67,3748,1971,1098897.49,6997,3000
2024-03-02 12:22:22.713062,6138481,1.48,1709371319130,822953.67,3748,1971,1098897.49,6997,3000
2024-03-02 12:22:26.302885,6138484,1.48,1709371319130,211085.8,4646,3686,1098897.49,6997,3000
2024-03-02 12:22:26.304869,6138484,1.48,1709371319130,211085.8,4646,3686,1098897.49,6997,3000
2024-03-02 12:22:33.460837,6138484,1.48,1709371319130,211085.8,4646,3686,1098897.49,6997,3000
2024-03-02 12:22:37.033464,6138484,1.48,1709371319130,211085.8,4646,3686,1098897.49,6997,3000
2024-03-02 12:22:40.594496,6138484,1.48,1709371319130,211085.8,4646,3686,1006534.05,6997,3000
2024-03-02 12:22:44.160158,6138487,1.08,1709371336758,-1,-1,-1,1006534.05,6997,3000
2024-03-02 12:22:44.162157,6138489,-1,-1,-1,-1,-1,240364.2,6997,3000
2024-03-02 12:22:47.727615,6138487,1.08,1709371336758,-1,-1,-1,1006534.05,6997,3000
2024-03-02 12:22:47.729604,6138487,1.08,1709371336758,-1,-1,-1,1006534.05,6997,3000
2024-03-02 12:22:51.296434,6138487,1.08,1709371336758,-1,-1,-1,1006534.05,6997,3000
2024-03-02 12:22:58.419033,6138487,1.08,1709371336758,65303.37,3550,3419,1006534.05,6997,3000
2024-03-02 12:23:01.975878,6138489,1.07,1709371354266,65303.37,3550,3419,1014402.84,6997,3000
2024-03-02 12:23:01.977375,6138492,-1,-1,-1,-1,-1,137295.45,6997,3000
2024-03-02 12:23:05.548504,6138489,1.07,1709371354266,65303.37,3550,3419,1014402.84,6997,3000
2024-03-02 12:23:05.550515,6138489,1.07,1709371354266,65303.37,3550,3419,1014402.84,6997,3000
2024-03-02 12:23:09.120040,6138489,1.07,1709371354266,65303.37,3550,3419,1014402.84,6997,3000
2024-03-02 12:23:12.705160,6138489,1.07,1709371354266,65303.37,3550,3419,736904.08,6997,3000
2024-03-02 12:23:16.271643,6138489,1.07,1709371354266,65303.37,3550,3419,736904.08,6997,3000
2024-03-02 12:23:19.829677,6138492,1.52,1709371374627,208764.55,3146,2592,736904.08,6997,3000
2024-03-02 12:23:19.831657,6138492,1.52,1709371374627,208764.55,3146,2592,736904.08,6997,3000
2024-03-02 12:23:23.391215,6138492,1.52,1709371374627,208764.55,3146,2592,736904.08,6997,3000
2024-03-02 12:23:30.541770,6138492,1.52,1709371374627,208764.55,3146,2592,872755.16,6997,3000
2024-03-02 12:23:34.104488,6138492,1.15,1709371392872,208764.55,3146,2592,872755.16,6997,3000
2024-03-02 12:23:41.239211,6138495,1.15,1709371392872,127732.54,3550,3244,872755.16,6997,3000
2024-03-02 12:23:41.241205,6138495,1.15,1709371392872,127732.54,3550,3244,872755.16,6997,3000
2024-03-02 12:23:48.395263,6138495,1.15,1709371392872,127732.54,3550,3244,872755.16,6997,3000
2024-03-02 12:23:51.972103,6138495,1.15,1709371392872,127732.54,3550,3244,806902.37,6997,3000
2024-03-02 12:23:55.534673,6138498,1.67,1709371413826,238703.26,3030,2281,806902.37,6997,3000
2024-03-02 12:24:10.455988,6138498,1.67,1709371413826,238703.26,3030,2281,862854.4,6997,3000
2024-03-02 12:24:17.594892,6138500,17.16,1709371455262,2749964.38,3391,131,862854.4,6997,3000
2024-03-02 12:24:42.570154,6138500,17.16,1709371455262,2749964.38,3391,131,173413.36,6997,3000
2024-03-02 12:24:49.707355,6138500,17.16,1709371455262,2749964.38,3391,131,792349.21,6997,3000
2024-03-02 12:24:53.291007,6138500,17.16,1709371455262,2749964.38,3391,131,792349.21,6997,3000
2024-03-02 12:24:56.851819,6138500,17.16,1709371455262,2749964.38,3391,131,792349.21,6997,3000
2024-03-02 12:25:00.422320,6138505,6.1,1709371485070,1738290.65,4068,682,792349.21,6997,3000
2024-03-02 12:25:11.144116,6138505,6.1,1709371485070,1738290.65,4068,682,792349.21,6997,3000
2024-03-02 12:25:14.713933,6138505,6.1,1709371485070,1738290.65,4068,682,398864.29,6997,3000
2024-03-02 12:25:18.276682,6138505,6.1,1709371485070,1738290.65,4068,682,849115.26,6997,3000
2024-03-02 12:25:21.861796,6138505,6.1,1709371485070,1738290.65,4068,682,849115.26,6997,3000
2024-03-02 12:25:25.444495,6138505,6.1,1709371485070,1738290.65,4068,682,849115.26,6997,3000
2024-03-02 12:25:29.003143,6138508,6.23,1709371515122,1919178.18,4078,448,849115.26,6997,3000
2024-03-02 12:25:43.300360,6138508,6.23,1709371515122,1919178.18,4078,448,333686.34,6997,3000
2024-03-02 12:25:46.865336,6138508,6.23,1709371515122,1919178.18,4078,448,700911.51,6997,3000
2024-03-02 12:25:50.452699,6138508,6.23,1709371515122,1919178.18,4078,448,878418.5,6997,3000
2024-03-02 12:25:54.016245,6138508,6.23,1709371515122,1919178.18,4078,448,878418.5,6997,3000
2024-03-02 12:25:57.587472,6138512,6.49,1709371545524,2259860.19,4355,616,878418.5,6997,3000
2024-03-02 12:26:11.863351,6138512,6.49,1709371545524,2259860.19,4355,616,40039.08,6997,3000
2024-03-02 12:26:15.443632,6138512,6.49,1709371545524,2259860.19,4355,616,566284.65,6997,3000
2024-03-02 12:26:22.580307,6138512,6.49,1709371545524,2259860.19,4355,616,960450.43,6997,3000
2024-03-02 12:26:26.158391,6138512,6.49,1709371545524,2259860.19,4355,616,960450.43,6997,3000
2024-03-02 12:26:29.730710,6138515,9.5,1709371579351,3197410.47,4617,331,960450.43,6997,3000
2024-03-02 12:26:47.572894,6138515,9.5,1709371579351,3197410.47,4617,331,334917.1,6997,3000
2024-03-02 12:26:51.143195,6138515,9.5,1709371579351,3197410.47,4617,331,747770.05,6997,3000
2024-03-02 12:26:54.735011,6138515,9.5,1709371579351,3197410.47,4617,331,1009198.59,6997,3000
2024-03-02 12:26:58.312261,6138515,9.5,1709371579351,3197410.47,4617,331,1009198.59,6997,3000
2024-03-02 12:27:01.860333,6138515,9.5,1709371579351,102866.42,4934,4595,1009198.59,6997,3000
2024-03-02 12:27:05.416325,6138519,1.19,1709371597674,102866.42,4934,4595,1009198.59,6997,3000
2024-03-02 12:27:05.419154,6138519,1.19,1709371597674,102866.42,4934,4595,1009198.59,6997,3000
2024-03-02 12:27:09.009043,6138519,1.19,1709371597674,102866.42,4934,4595,1009198.59,6997,3000
2024-03-02 12:27:12.589757,6138519,1.19,1709371597674,102866.42,4934,4595,1009198.59,6997,3000
2024-03-02 12:27:16.144111,6138519,1.19,1709371597674,102866.42,4934,4595,751288.71,6997,3000
2024-03-02 12:27:19.709944,6138519,1.31,1709371617104,102866.42,4934,4595,751288.71,6997,3000
2024-03-02 12:27:23.262532,6138522,1.31,1709371617104,125966.63,3476,2904,751288.71,6997,3000
2024-03-02 12:27:23.263611,6138522,1.31,1709371617104,125966.63,3476,2904,751288.71,6997,3000
2024-03-02 12:27:26.837810,6138522,1.31,1709371617104,125966.63,3476,2904,751288.71,6997,3000
2024-03-02 12:27:30.423261,6138522,1.31,1709371617104,125966.63,3476,2904,751288.71,6997,3000
2024-03-02 12:27:34.005538,6138522,1.31,1709371617104,125966.63,3476,2904,793526.46,6997,3000
2024-03-02 12:27:37.588344,6138522,1.31,1709371617104,125966.63,3476,2904,793526.46,6997,3000
2024-03-02 12:27:41.158204,6138524,2.18,1709371639499,428629.51,3409,2005,793526.46,6997,3000
2024-03-02 12:27:44.719172,6138524,2.18,1709371639499,428629.51,3409,2005,793526.46,6997,3000
2024-03-02 12:27:44.722160,6138524,2.18,1709371639499,428629.51,3409,2005,793526.46,-1,-1
2024-03-02 12:27:55.444651,6138524,2.18,1709371639499,428629.51,3409,2005,1024387.78,6997,3000
2024-03-02 12:28:02.574979,6138527,3.87,1709371665914,1722898.58,4748,1235,1024387.78,6997,3000
2024-03-02 12:28:13.293477,6138527,3.87,1709371665914,1722898.58,4748,1235,1024387.78,6997,3000
2024-03-02 12:28:16.869694,6138527,3.87,1709371665914,1722898.58,4748,1235,794137.18,6997,3000
2024-03-02 12:28:20.439522,6138527,3.87,1709371665914,1722898.58,4748,1235,1156055.52,6997,3000
2024-03-02 12:28:24.027637,6138527,3.87,1709371665914,1722898.58,4748,1235,1156055.52,6997,3000
2024-03-02 12:28:27.613151,6138527,-1,-1,1722898.58,4748,1235,1156055.52,6997,3000
2024-03-02 12:28:31.187527,6138529,2.17,1709371688412,754412.81,5290,3262,1156055.52,6997,3000
2024-03-02 12:28:34.765976,6138529,2.17,1709371688412,754412.81,5290,3262,1156055.52,6997,3000
2024-03-02 12:28:34.767964,6138529,2.17,1709371688412,754412.81,5290,3262,1156055.52,6997,3000
2024-03-02 12:28:38.358111,6138529,2.17,1709371688412,754412.81,5290,3262,521320.95,6997,3000
2024-03-02 12:28:45.523017,6138529,2.17,1709371688412,754412.81,5290,3262,1051626.81,6997,3000
2024-03-02 12:28:49.103496,6138529,2.17,1709371688412,754412.81,5290,3262,1051626.81,6997,3000
2024-03-02 12:28:52.664964,6138532,3.6,1709371714517,1479235.52,4988,1428,1051626.81,6997,3000
2024-03-02 12:28:59.784675,6138532,3.6,1709371714517,1479235.52,4988,1428,1051626.81,-1,-1
2024-03-02 12:29:03.353752,6138532,3.6,1709371714517,1479235.52,4988,1428,394705.31,6997,3000
2024-03-02 12:29:06.923530,6138532,3.6,1709371714517,1479235.52,4988,1428,973745.09,6997,3000
2024-03-02 12:29:10.496797,6138532,3.6,1709371714517,1479235.52,4988,1428,1009337.75,6997,3000
2024-03-02 12:29:14.055621,6138532,3.6,1709371714517,1479235.52,4988,1428,1009337.75,6997,3000
2024-03-02 12:29:17.631917,6138532,3.6,1709371714517,1479235.52,4988,1428,1009337.75,6997,3000
2024-03-02 12:29:21.200005,6138535,1.32,1709371733754,147938.57,5350,4691,1009337.75,6997,3000
2024-03-02 12:29:21.201997,6138535,1.32,1709371733754,147938.57,5350,4691,1009337.75,6997,3000
2024-03-02 12:29:28.306990,6138535,1.32,1709371733754,147938.57,5350,4691,1009337.75,6997,3000
2024-03-02 12:29:31.876831,6138535,1.32,1709371733754,147938.57,5350,4691,964182.08,6997,3000
2024-03-02 12:29:35.451347,6138535,1.32,1709371733754,147938.57,5350,4691,964182.08,6997,3000
2024-03-02 12:29:39.024388,6138539,1.62,1709371754513,235898.73,4604,3534,964182.08,6997,3000
2024-03-02 12:29:42.593846,6138539,1.62,1709371754513,235898.73,4604,3534,964182.08,6997,3000
2024-03-02 12:29:46.162193,6138539,1.62,1709371754513,235898.73,4604,3534,964182.08,6997,3000
2024-03-02 12:29:49.734595,6138539,1.62,1709371754513,235898.73,4604,3534,1069044.55,6997,3000
2024-03-02 12:29:53.287253,6138539,1.62,1709371754513,235898.73,4604,3534,1069044.55,6997,3000
2024-03-02 12:29:56.876319,6138539,1.62,1709371754513,235898.73,4604,3534,1069044.55,6997,3000
2024-03-02 12:30:00.449960,6138540,1.52,1709371774903,288033.77,4856,3703,1069044.55,6997,3000
2024-03-02 12:30:00.452942,6138540,1.52,1709371774903,288033.77,4856,3703,1069044.55,6997,3000
2024-03-02 12:30:04.017031,6138540,1.52,1709371774903,288033.77,4856,3703,1069044.55,6997,3000
2024-03-02 12:30:07.584324,6138540,1.52,1709371774903,288033.77,4856,3703,1069044.55,6997,3000
2024-03-02 12:30:11.150154,6138540,1.52,1709371774903,288033.77,4856,3703,1101705.81,6997,3000
2024-03-02 12:30:14.734604,6138540,1.52,1709371774903,288033.77,4856,3703,1101705.81,6997,3000
2024-03-02 12:30:18.302793,6138540,1.3,1709371794292,288033.77,4856,3703,1101705.81,6997,3000
2024-03-02 12:30:21.862212,6138543,1.3,1709371794292,111477.69,4916,4297,1101705.81,6997,3000
2024-03-02 12:30:21.864184,6138543,1.3,1709371794292,111477.69,4916,4297,1101705.81,6997,3000
2024-03-02 12:30:29.008975,6138543,1.3,1709371794292,111477.69,4916,4297,953819.1,6997,3000
