data,session,multiplier,session_ls,win_amount,number,death,Amount,a,w
2024-03-20 16:57:39.907221,164194,4.14,1711207942549,1487044.42,8665,3603,1085900.87,6997,3000
2024-03-20 16:57:39.932975,164194,4.14,1711207942549,172166.21,8665,7477,1085900.87,6997,3000
2024-03-20 16:57:39.970261,164194,4.14,1711207942549,279609.85,8665,6870,1085900.87,6997,3000
2024-03-20 16:57:39.974699,164194,4.14,1711207942549,517529.62,8665,6217,1085900.87,6997,3000
2024-03-20 16:57:40.031070,164194,4.14,1711207942549,886857.62,8665,5056,1085900.87,6997,3000
2024-03-20 16:57:40.078843,164194,4.14,1711207942549,1113278.02,8665,4463,1085900.87,6997,3000
2024-03-20 16:57:40.137136,164194,4.14,1711207942549,1487044.42,8665,3603,1085900.87,6997,3000
2024-03-20 16:57:40.155998,164194,4.14,1711207942549,1724161.96,8665,2996,1085900.87,6997,3000
2024-03-20 16:57:40.206048,164194,4.14,1711207942549,2029043.64,8665,2233,1085900.87,6997,3000
2024-03-20 16:57:43.286397,164194,4.14,1711207942549,2617634.96,8665,1741,1085900.87,6997,3000
2024-03-20 16:57:43.289703,164194,4.14,1711207942549,279609.85,8665,6870,1085900.87,6997,3000
2024-03-20 16:57:43.321125,164194,4.14,1711207942549,517529.62,8665,6217,1085900.87,6997,3000
2024-03-20 16:57:43.333146,164194,4.14,1711207942549,886857.62,8665,5056,1085900.87,6997,3000
2024-03-20 16:57:43.356881,164194,4.14,1711207942549,1113278.02,8665,4463,1085900.87,6997,3000
2024-03-20 16:57:43.364846,164194,4.14,1711207942549,1487044.42,8665,3603,1085900.87,6997,3000
2024-03-20 16:57:43.428192,164194,4.14,1711207942549,1724161.96,8665,2996,1085900.87,6997,3000
2024-03-20 16:57:43.428192,164194,4.14,1711207942549,2029043.64,8665,2233,1085900.87,6997,3000
2024-03-20 16:57:43.461250,164194,4.14,1711207942549,2617634.96,8665,1741,1085900.87,6997,3000
2024-03-20 16:57:43.499607,164194,7.85,1711207974524,2848578.71,8665,1482,1085900.87,6997,3000
2024-03-20 16:57:46.648065,164194,7.85,1711207974524,3083914.01,8665,1166,1085900.87,6997,3000
2024-03-20 16:57:46.664464,164194,7.85,1711207974524,886857.62,8665,5056,1085900.87,6997,3000
2024-03-20 16:57:46.715253,164194,7.85,1711207974524,1113278.02,8665,4463,1085900.87,6997,3000
2024-03-20 16:57:46.745408,164194,7.85,1711207974524,1487044.42,8665,3603,1085900.87,6997,3000
2024-03-20 16:57:46.763440,164194,7.85,1711207974524,1724161.96,8665,2996,1085900.87,6997,3000
2024-03-20 16:57:46.793499,164194,7.85,1711207974524,2029043.64,8665,2233,1085900.87,6997,3000
2024-03-20 16:57:46.832481,164194,7.85,1711207974524,2617634.96,8665,1741,1085900.87,6997,3000
